State,District,Crop,Season,Year,Area_hectares,Yield_tonnes_per_ha,Production_tonnes,Irrigation_percent,Soil_Type,Fertilizer_kg_per_ha
Haryana,Chandigarh,Mustard,Rabi,2023,810,2.3,1863,68,Loamy,80
Telangana,Hyderabad,Maize,Kharif,2020,880,3.7,3256,55,Red soil,80
Telangana,Hyderabad,Maize,Kharif,2021,890,3.8,3382,58,Red soil,85
Telangana,Hyderabad,Maize,Kharif,2022,900,3.8,3420,60,Red soil,88
Telangana,Hyderabad,Maize,Kharif,2023,910,3.9,3549,62,Red soil,90
Telangana,Hyderabad,Pulses,Kharif,2020,580,1.4,812,35,Loamy,45
Telangana,Hyderabad,Pulses,Kharif,2021,590,1.5,885,38,Loamy,48
Telangana,Hyderabad,Pulses,Kharif,2022,600,1.5,900,40,Loamy,50
Telangana,Hyderabad,Pulses,Kharif,2023,610,1.6,976,42,Loamy,52
Kerala,Thiruvananthapuram,Rice,Kharif,2020,390,2.7,1053,90,Laterite,60
Kerala,Thiruvananthapuram,Rice,Kharif,2021,395,2.8,1106,92,Laterite,65
Kerala,Thiruvananthapuram,Rice,Kharif,2022,400,2.8,1120,93,Laterite,68
Kerala,Thiruvananthapuram,Rice,Kharif,2023,405,2.9,1174,95,Laterite,70
Kerala,Thiruvananthapuram,Coconut,Annual,2020,195,7900,1540500,85,Coastal sandy,120
Kerala,Thiruvananthapuram,Coconut,Annual,2021,198,8000,1584000,87,Coastal sandy,125
Kerala,Thiruvananthapuram,Coconut,Annual,2022,200,8000,1600000,88,Coastal sandy,130
Kerala,Thiruvananthapuram,Coconut,Annual,2023,202,8100,1636200,90,Coastal sandy,135
Andhra Pradesh,Hyderabad,Rice,Kharif,2020,1750,4.1,7175,70,Deltaic,110
Andhra Pradesh,Hyderabad,Rice,Kharif,2021,1780,4.2,7476,72,Deltaic,115
Andhra Pradesh,Hyderabad,Rice,Kharif,2022,1800,4.2,7560,75,Deltaic,118
Andhra Pradesh,Hyderabad,Rice,Kharif,2023,1820,4.3,7826,77,Deltaic,120
Andhra Pradesh,Hyderabad,Cotton,Kharif,2020,1180,2.7,3186,60,Black cotton,140
Andhra Pradesh,Hyderabad,Cotton,Kharif,2021,1190,2.8,3332,62,Black cotton,145
Andhra Pradesh,Hyderabad,Cotton,Kharif,2022,1200,2.8,3360,65,Black cotton,150
Andhra Pradesh,Hyderabad,Cotton,Kharif,2023,1210,2.9,3509,68,Black cotton,155
